house_number,latitude,longitude,area,total_power,current_(Amp),A_(mm^^2),L_from_LV ,R,Ploss,Efficiency,Way_ID,Type,Total_Power_Per_Year
1,53.0946521018148,8.86310290980065,105.082,17.6 KW,76.5 Amp,16,44,0.046,807.61,0.954,230167596,House,6442
3,53.0947041070326,8.86310457526194,104.687,17.6 KW,76.5 Amp,16,47,0.049,860.28,0.951,230167611,House,6442
5,53.0947561121876,8.8631562045619,109.557,17.6 KW,76.5 Amp,16,59,0.062,1088.52,0.938,230167615,House,6442
7,53.0948229609477,8.86316920499201,143.155,20.2 KW,87.8 Amp,16,67,0.07,1618.86,0.92,179899385,House,9663
9,53.094745111105,8.8625866167943,59.903,12.1 KW,52.6 Amp,10,19,0.032,265.61,0.978,230167617,House,3221
11,53.0948061170876,8.86259660956204,99.555,17.6 KW,76.5 Amp,16,25,0.03,526.7,0.97,230167598,House,6442
13,53.0948601223115,8.86262325694266,101.746,17.6 KW,76.5 Amp,16,32,0.034,596.93,0.966,230167600,House,6442
15,53.0949171277522,8.86264657340071,61.899,13.8 KW,60 Amp,10,38,0.064,691.2,0.949,179899386,House,3221
17,53.0949731330238,8.86269487177809,100.225,17.6 KW,76.5 Amp,16,45,0.047,825.17,0.953,230167603,House,6442
19,53.0948209854353,8.86243235667762,63.313,13.8 KW,60 Amp,10,29,0.049,529.2,0.962,223414618,House,3221
21,53.0948912688356,8.86243646345033,100.82,17.6 KW,76.5 Amp,16,37,0.039,684.71,0.961,223414625,House,6442
23,53.0949418234912,8.86244057022304,105.829,17.6 KW,76.5 Amp,16,42,0.044,772.5,0.956,223414630,House,6442
25,53.0949981265141,8.86245253980598,98.3,17.6 KW,76.5 Amp,16,49,0.051,895.39,0.949,223414635,House,6442
27,53.095045139698,8.86246503812647,103.075,17.6 KW,76.5 Amp,16,54,0.057,1000.73,0.943,223414640,House,6442
29,53.095108145436,8.86248002727807,59.724,12.1 KW,52.6 Amp,10,61,0.1,830.03,0.931,179899389,House,3221
31,53.0951771516145,8.86251333650386,135.203,20.2 KW,87.8 Amp,16,69,0.072,1665.11,0.918,223414654,House,6442
2,53.0943524264922,8.86286151442696,119.032,17.6 KW,76.5 Amp,16,37,0.039,684.71,0.961,230167605,House,6442
4,53.0943684562243,8.86280401960896,106.322,17.6 KW,76.5 Amp,16,33,0.035,614.49,0.965,230167614,House,6442
6,53.094396816505,8.86270751045016,116.772,17.6 KW,76.5 Amp,16,26,0.027,474.03,0.973,179899384,House,6442
8,53.094416545389,8.86255350647498,114.975,17.6 KW,76.5 Amp,16,20,0.021,368.69,0.979,230167616,House,6442
10,53.0944498378532,8.86246931762454,107.308,17.6 KW,76.5 Amp,16,16,0.017,298.46,0.983,230167597,House,6442
12,53.0944905286079,8.86239539571567,112.664,17.6 KW,76.5 Amp,16,12,0.012,210.68,0.988,230167599,House,6442
14,53.094518888808,8.86232763396588,97.39,17.6 KW,76.5 Amp,16,13,0.014,245.79,0.986,179899387,House,6442
16,53.0945460159385,8.86223112480709,106.509,17.6 KW,76.5 Amp,16,17,0.018,316.02,0.982,230167601,House,6442
18,53.0946138336899,8.862023732785,98.466,17.6 KW,76.5 Amp,16,31,0.033,579.37,0.967,230167604,House,6442
20,53.0946446599052,8.86195391764885,98.466,17.6 KW,76.5 Amp,16,36,0.038,667.16,0.962,230167606,House,6442
22,53.0946865835226,8.86185124833099,98.466,17.6 KW,76.5 Amp,16,43,0.045,790.05,0.955,230167607,House,6442
24,53.0947248079617,8.86176705949034,98.543,17.6 KW,76.5 Amp,16,50,0.053,930.51,0.947,230167608,House,6442
26,53.0947815280345,8.86160689535446,69.19,13.8 KW,60 Amp,10,62,0.1,1080,0.922,230167609,House,3221
28,53.0948259176045,8.86150217265024,70.75,13.8 KW,60 Amp,10,71,0.12,1296,0.906,230167610,House,3221
30,53.094861675836,8.86141387703688,71.252,13.8 KW,60 Amp,10,77,0.13,1404,0.898,230167612,House,3221
32,53.0948888027503,8.86133379496894,243.862,25.2 KW,109.6 Amp,16,84,0.088,3171.21,0.874,230167613,House,16105
33,53.0948518115028,8.86180607383972,95.141,17.6 KW,76.5 Amp,16,57,0.06,1053.41,0.94,223414670,House,6442
35,53.0949159296512,8.86185946188501,95.304,17.6 KW,76.5 Amp,16,65,0.068,1193.86,0.932,223414682,House,6442
37,53.0949788146655,8.86196213120288,95.246,17.6 KW,76.5 Amp,16,74,0.077,1351.87,0.923,223414696,House,6442
39,53.0950885549605,8.86204015988446,69.727,13.8 KW,60 Amp,10,87,0.15,1620,0.883,223414709,House,3221
41,53.0951526727629,8.86204632004356,111.707,17.6 KW,76.5 Amp,16,94,0.099,1738.11,0.901,223414718,House,6442
43,53.0952056931755,8.86204632004356,117.296,17.6 KW,76.5 Amp,16,100,0.105,1843.46,0.895,223414724,House,6442
45,53.0952587135228,8.86205042681628,106.387,17.6 KW,76.5 Amp,16,106,0.111,1948.8,0.889,223414730,House,6442
47,53.0953154328918,8.86206069374806,104.492,17.6 KW,76.5 Amp,16,112,0.118,2071.7,0.882,179899388,House,6442
49,53.0953709191587,8.86207301406621,139.52,20.2 KW,87.8 Amp,16,118,0.124,2867.69,0.858,223414743,House,6442
